as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
25382,53562,DRIVETIME,DriveTime,En,1,2,512,0.00%,0.00%,0.00%,0
25382,43017,PROFIX-AS,TOV 'ProFIX Company',En,1,2,512,0.00%,0.00%,0.00%,0
25382,35988,UMASS-MEMO...,Umass Memorial health care inc,En,1,2,512,0.00%,0.00%,0.00%,0
25382,54321,COMPUTEX,ENETSolutions L.L.C,En,1,2,512,0.00%,0.00%,0.00%,0
25382,38920,TURKLANDBA...,Turkland Bank A.s.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,54271,MECHANICS,Mechanics Bank,En,1,2,512,0.00%,0.00%,0.00%,0
25382,6404,FACTSET,"FactSet Research Systems, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,54751,KDWLLP1,Kelley Drye & Warren LLP,En,1,2,512,0.00%,0.00%,0.00%,0
25382,5679,PBI-NET-BLK,AT&T Internet Services,En,1,2,512,0.00%,0.00%,0.00%,0
25382,26419,BDA-INC,BDa,En,1,2,512,0.00%,0.00%,0.00%,0
25382,19160,ATGL-AS,Apex Tool Group LLC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,53583,WESTJET,Westjet Airlines Limited,En,1,2,512,0.00%,0.00%,0.00%,0
25382,46807,GLOUC-NJ,County of Gloucester,En,1,2,512,0.00%,0.00%,0.00%,0
25382,23310,TASTYLIME,TASTY LIME,Co,1,2,512,0.00%,0.00%,0.00%,0
25382,35275,KONSALNET-AS,KONSALNET HOLDING SA,En,1,2,512,0.00%,0.00%,0.00%,0
25382,30699,CORRECTION...,Corrections Corporation of America,En,1,2,512,0.00%,0.00%,0.00%,0
25382,29972,MOREHOUSEM...,Morehouse School of Medicine,En,1,2,512,0.00%,0.00%,0.00%,0
25382,60282,MCSII-AS,STANCIU MARIUS CATALIN INTREPRINDERE INDIVIDUALA,En,1,2,512,0.00%,0.00%,0.00%,0
25382,61256,PLL-AS,Port Lotniczy Lublin SA,En,1,2,512,0.00%,0.00%,0.00%,0
25382,34489,AIRPLANET-AS,Pannon Pipics Ltd.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,31659,Below-Zero,Below Zero Hosting Ltd.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,11731,AS11731,"Weston Solutions, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,6129,247REALMED...,"24/7 Real Media, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,34742,SATLINE-AS,CJSC SatLine,En,1,2,512,0.00%,0.00%,0.00%,0
25382,12298,QIAGEN-AS,QIAGEN GmbH,En,1,2,512,0.00%,0.00%,0.00%,0
25382,10173,KSNET-AS,KSNET.Inc,En,1,2,512,0.00%,0.00%,0.00%,0
25382,25001,RIKOP,RIKOP Ltd.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,19810,ASNBLK-VTLA2,"Virtela Communications, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,24217,Sansiri-cs...,CSLOXINFO Project for IAG Insurance,En,1,2,512,0.00%,0.00%,0.00%,0
25382,30713,YRDSB,York Region District School Board,En,1,2,512,0.00%,0.00%,0.00%,0
25382,26221,ASN-BMONB-AS1,Bank of Montreal,En,1,2,512,0.00%,0.00%,0.00%,0
25382,13570,ASN-BMONB-AS1,Bank of Montreal,En,1,2,512,0.00%,0.00%,0.00%,0
