,Malware,Phishing,Exploits,Fraudlent Services,Unwanted Programs,Spammers,Unlabelled
6188,169,43,2,40,0,0,0
134428,2,0,0,0,0,0,0
45638,818,3064,8,140,0,0,0
48209,3,0,0,0,0,0,0
45328,35,5,0,10,0,0,0
199770,1,2,0,0,0,0,0
134420,2950,1317,8,2,5,0,0
15713,9,0,0,0,0,0,0
48200,4,0,0,0,0,0,0
45634,134,51,4,32,2,0,0
45324,169,39,2,23,0,0,0
7941,126,30,0,0,6,0,0
9199,9,0,0,0,0,0,0
9198,2849,110,49,227,0,0,0
39806,5,0,1,0,0,0,0
7949,1,0,0,0,0,0,0
7238,0,0,0,0,1,0,0
39802,4,0,0,0,0,0,0
265163,1,0,0,0,0,0,0
42173,4,0,0,0,1,0,0
198171,605,9,8,51,0,0,0
16912,12,0,0,0,0,0,0
12208,1,0,0,0,0,0,0
12200,8,0,0,0,0,0,0
50276,0,6,0,0,0,0,0
5567,1,0,0,0,0,0,0
16413,1,0,0,0,0,0,0
63252,2,2,1,0,0,0,0
63523,14,0,0,0,0,0,0
57687,17,14,0,0,0,0,0
9776,6,0,0,0,0,0,0
29354,180,3,0,0,0,0,0
9770,14,0,0,0,0,0,0
29357,4,0,0,0,0,0,0
8866,675,1,1,6,0,0,0
21409,315,101,50,81,14,0,0
14987,2,1,0,0,0,0,0
24164,149,0,0,0,0,0,0
14988,5,0,0,0,0,0,0
24163,19,0,0,0,0,0,0
41377,81,0,4,0,0,0,0
62787,2,0,0,0,7,0,0
49750,1,0,0,3,0,0,0
57134,1,0,0,0,0,0,0
812,348,49,3,16,3,0,0
813,2,0,1,0,0,0,0
