,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
4808,169.0,265.0,1765.0,2975.0,4.0,209.0
197145,128.0,9.0,735.0,0.0,5.0,0.0
209,518.0,454.0,13038.0,113347.0,54.0,9028.0
46636,77.0,84.0,577.0,76.0,1.0,28.0
7738,4.0,1.0,1177.0,9.0,1.0,0.0
31100,13.0,23.0,15.0,0.0,2.0,0.0
31103,91.0,129.0,453.0,163.0,48.0,28.0
45454,5.0,133.0,132.0,66.0,4.0,0.0
47781,22.0,14.0,117.0,0.0,2.0,0.0
33875,0.0,0.0,2.0,2.0,2.0,0.0
45102,64.0,400.0,2267.0,2196.0,4.0,118.0
45671,10.0,88.0,347.0,333.0,1.0,3.0
22653,5.0,88.0,297.0,152.0,1.0,40.0
19194,12.0,94.0,44.0,0.0,1.0,2.0
55720,7.0,23.0,341.0,74.0,1.0,0.0
10429,2.0,4.0,33.0,1.0,1.0,0.0
3265,7.0,89.0,122.0,27.0,2.0,13.0
8452,24.0,4.0,661.0,4.0,2.0,0.0
31083,10.0,86.0,965.0,175.0,1.0,11.0
9318,289.0,500.0,2230.0,938.0,13.0,87.0
200651,10.0,22.0,58.0,49.0,29.0,0.0
22384,20.0,104.0,394.0,103.0,1.0,33.0
48671,16.0,1.0,28.0,0.0,1.0,0.0
18866,386.0,162.0,342.0,33.0,4.0,0.0
3462,71.0,1770.0,4519.0,875.0,1.0,40.0
39150,347.0,23.0,412.0,0.0,3.0,0.0
51354,2.0,0.0,520.0,0.0,3.0,0.0
48841,79.0,103.0,155.0,0.0,5.0,0.0
30968,96.0,138.0,674.0,115.0,1.0,0.0
33387,71.0,1730.0,2059.0,507.0,1.0,30.0
12322,71.0,61.0,1306.0,147.0,4.0,27.0
29182,5175.0,2570.0,3842.0,506.0,6.0,18.0
50056,12.0,121.0,140.0,31.0,1.0,0.0
55002,21.0,411.0,815.0,295.0,1.0,17.0
48279,1.0,0.0,21.0,1.0,2.0,0.0
13237,90.0,197.0,833.0,71.0,14.0,5.0
8557,0.0,1.0,12.0,0.0,1.0,0.0
30148,13.0,272.0,900.0,284.0,1.0,15.0
15895,82.0,55.0,4757.0,352.0,2.0,13.0
197922,0.0,22.0,359.0,13.0,1.0,0.0
16134,0.0,32.0,79.0,6.0,1.0,0.0
3352,10.0,38.0,284.0,54.0,1.0,8.0
16131,1.0,6.0,15.0,0.0,1.0,0.0
35662,15.0,907.0,625.0,748.0,6.0,43.0
55933,1648.0,2535.0,8827.0,698.0,154.0,10.0
7015,6.0,0.0,15.0,0.0,1.0,0.0
51630,1.0,2.0,90.0,0.0,35.0,0.0
43449,0.0,1.0,13.0,0.0,1.0,0.0
51632,10.0,2.0,70.0,0.0,2.0,0.0
39756,2.0,29.0,246.0,36.0,9.0,0.0
